-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        1.175s       117.97%        1.175s      29.380ms            40  
void marlin_moe_wna16::Marlin<1125899906909960l, 112...         0.00%       0.000us         0.00%       0.000us       0.000us     223.521ms        22.44%     223.521ms     112.946us          1979  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us     193.816ms        19.46%     193.816ms     191.707us          1011  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us     180.240ms        18.09%     180.240ms      93.875us          1920  
                                               aten::mm         0.16%       2.288ms         0.18%       2.576ms     128.776us     162.786ms        16.34%     162.786ms       8.139ms            20  
void cutlass::Kernel2<cutlass_80_wmma_tensorop_bf16_...         0.00%       0.000us         0.00%       0.000us       0.000us     141.392ms        14.19%     141.392ms     147.284us           960  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      82.172ms         8.25%      82.172ms      85.596us           960  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us      35.106ms         3.52%      35.106ms      36.568us           960  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us      21.702ms         2.18%      21.702ms      30.141us           720  
                      triton_poi_fused_mul_silu_slice_0         0.00%       0.000us         0.00%       0.000us       0.000us      19.024ms         1.91%      19.024ms      19.217us           990  
void vllm::moe::topkGating<8, 256, 4, 16, 32, int, _...         0.00%       0.000us         0.00%       0.000us       0.000us      15.855ms         1.59%      15.855ms      16.031us           989  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      15.375ms         1.54%      15.375ms      21.354us           720  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us       8.587ms         0.86%       8.587ms       8.945us           960  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       7.302ms         0.73%       7.302ms       7.375us           990  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us       6.275ms         0.63%       6.275ms     156.868us            40  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       6.158ms         0.62%       6.158ms       6.220us           990  
void marlin::Marlin<1125899906909960l, 1125899907892...         0.00%       0.000us         0.00%       0.000us       0.000us       6.085ms         0.61%       6.085ms     104.911us            58  
